smiles,PCE
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)o3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)o1,47.0
COc1ccc(C2=C(I)C(c3ccc(Br)cc3)=[N+]3C2=Nc2c(-c4ccc(OC)cc4)c(I)c(-c4ccc(Br)cc4)n2[B-]3(F)F)cc1,37.9
CCCNC(=O)c1ccc(C[n+]2ccc(/C=C/C=C3\C=CN(Cc4cccc(C(=O)NCCC)c4)c4ccccc43)c3ccccc32)cc1,8.4
O=C(NCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccc(CN2C=C/C(=C\C=C\c3cc[n+](Cc4ccc(C(=O)NCC[P+](c5ccccc5)(c5ccccc5)c5ccccc5)cc4)c4ccccc34)c3ccccc32)cc1,9.5
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,34.5
CCN(CC)c1ccc(-c2ccc(C3=C4C(=O)N(CCCCCCOC(=O)Cc5cccc6c(=O)c7ccc(C)c(C)c7oc56)C(c5ccc(-c6ccc(N(CC)CC)cc6)o5)=C4C(=O)N3CCCCCCOC(=O)Cc3cccc4c(=O)c5ccc(C)c(C)c5oc34)o2)cc1,48.6
O=C1C2=C(c3ccc(-c4ccc([N+](=O)[O-])cc4)s3)N(CCCCCCBr)C(=O)C2=C(c2ccc(-c3ccc([N+](=O)[O-])cc3)s2)N1CCCCCCBr,23.2
CCCCCCCCCCCCC(CCCCCCCCCC)CCN1C(=O)C2=C(c3cc4sc(-c5ccc(N6c7ccc(Br)cc7Sc7cc(/C=C/C(=O)OCC)ccc76)cc5)cc4s3)N(CCC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1cc2sc(-c3ccc(N4c5ccc(Br)cc5Sc5cc(/C=C/C(=O)OCC)ccc54)cc3)cc2s1,35.7
CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccc(N(C)C)cc1)c1c(C)cc(C)n1[B-]2(F)F,20.0
CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccccc1)c1c(C)cc(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,40.0
COc1ccc(/C=C/C2=[N+]3C(=C(c4ccc(N(C)C)cc4)c4c(C)cc(/C=C/c5ccc(OC)cc5)n4[B-]3(F)F)C(C)=C2)cc1,30.0
CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccc(N(C)C)cc1)c1c(C)cc(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,39.0
CC1=C(I)C(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccccc1)c1c(C)c(I)c(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,42.0
CCN1/C(=C/C=C2\CCCC(/C=C/C3=C(C#N)C(=C(C#N)C#N)OC3(C)C)=C2Cl)C(C)(C)c2ccccc21,62.3
O=C1C(=O)C(c2ccc(N(c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)s2)C(=O)C1c1ccc(N(c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)s1,72.7
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccccc4C3(C)C)=C2Oc2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)C(C)(C)c2ccccc21,9.5
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccccc4C3(C)C)=C2Oc2ccc3ccc4cccc5ccc2c3c45)C(C)(C)c2ccccc21,22.3
CC1=CC(/C=C/c2ccccc2)=[N+]2C1=C(c1ccccc1)c1c(C)cc(/C=C/c3ccccc3)n1[B-]2(F)F,22.0
CC1=CC(/C=C/c2cccc3ccccc23)=[N+]2C1=C(c1ccccc1)c1c(C)cc(/C=C/c3cccc4ccccc34)n1[B-]2(F)F,28.0
